course_title,0
Ultimate Investment Banking Course,0
Complete GST Course & Certification - Grow Your CA Practice,1
Financial Modeling for Business Analysts and Consultants,2
Beginner to Pro - Financial Analysis in Excel 2017,3
How To Maximize Your Profits Trading Options,4
Trading Penny Stocks: A Guide for All Levels In 2017,5
Investing And Trading For Beginners: Mastering Price Charts,6
"Trading Stock Chart Patterns For Immediate, Explosive Gains",7
Options Trading 3 : Advanced Stock Profit and Success Method,8
The Only Investment Strategy You Need For Your Retirement,9
Forex Trading Secrets of the Pros With Amazon's AWS,10
Trading Options With Money Flow,11
Financial Management Risk and Return For Securities,12
Forex Trading Course: Work Smarter Not Harder Proven Results,13
Python Algo Trading: Sentiment Trading with News,14
Short Selling: Learn To Sell Stocks Before The Fall,15
Basic Technical Analysis: Learn the structure of the market,16
The Complete Chart Pattern Trading Course: A Proven Approach,17
7 Deadly Mistakes of Investing that Will Slash Your Profits!,18
Financial Statements Made Easy,19
Winning Forex Trading with Live Forex Trading Examples,20
Forex Traders - Create Your First Trading Robot. No Coding!,21
Create A Business From Home Trading Stocks Today In 2017,22
Introduction to Accounting : Mastering Financial Statements,23
The Complete Ethereum Course: Get .01 Ether In Your Wallet,24
Beginner to Pro in PowerPoint: Complete PowerPoint Training,25
Investing 101: The Complete Online Investing Course,26
Create Your Own Hedge Fund: Trade Stocks Like A Fund Manager,27
Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5),28
Forex Trading: Your Complete Guide to Get Started Like a Pro,29
Python Algo Stock Trading: Automate Your Trading!,30
THE Forex Robot: Incredible ROI (Robot Included),31
The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,32
Mastering High Probability Iron Condor Options Trading,33
The Complete Short Course on Ethereum,34
Options Trading Stocks: Proven Toolbox For Financial Success,35
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,36
"Introduction to Finance, Accounting, Modeling and Valuation",37
Beginner to Pro in Excel: Financial Modeling and Valuation,38
The Complete Investment Banking Course 2017,39
The Complete Financial Analyst Course 2017,40
Python for Finance: Investment Fundamentals & Data Analytics,41
Financial Modeling for Startups & Small Businesses,42
Options Trading - How to Win with Weekly Options,43
Black Algo Trading: Build Your Trading Robot,44
Accounting & Financial Statement Analysis: Complete Training,45
Cryptocurrency Trading: Complete Guide To Trading Altcoins,46
Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,47
Three Steps Trading - Live Trading - Real Account,48
Option Trading for Rookies:  Understand Options Completely,49
How I Learned Stock Trading (and How You Can Too),50
Learn to Trade for Profit: Find and Trade Winning Stocks,51
Trading Inside Bars - Master 1 Easy Pattern To Be Successful,52
Four Fundamentals of Financial Planning,53
Options Trading - Calendar Spread Course for Every Trader,54
Dividend Investing: Build Your Portfolio for a Better Future,55
Learn Accounting. Understand Business.,56
How to Consistently Win Trading Stocks in 30 Days or Less,57
A Beginner's Guide to Quantopian Futures API,58
How to Buy Cheap Options - Options Trading Pricing Model,59
Excel Crash Course: Master Excel for Financial Analysis,60
"Comprehensive Guide to Financial Markets, Investing &Trading",61
Stock Trading Ninja: Complete System For Trading Success,62
